matcher,index,points,range,zone,radius,found,repeat,timesum,timeavg
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.125,10,100,642,6.429
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.0625,3,100,370,3.708
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.03125,1,100,143,1.432
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.015625,1,100,133,1.330
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.0078125,1,100,116,1.161
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.5,204,100,4457,44.572
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.25,46,100,1730,17.305
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.125,14,100,757,7.572
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.0625,2,100,394,3.946
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.03125,1,100,152,1.520
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.015625,1,100,128,1.286
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0078125,0.0078125,1,100,85,0.860
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.5,802,100,11151,111.513
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.25,204,100,7274,72.743
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.125,48,100,7914,79.149
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.0625,12,100,8042,80.424
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.03125,4,100,7328,73.287
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.015625,1,100,7470,74.707
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.5,0.0078125,1,100,7516,75.163
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.5,803,100,13273,132.739
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.25,204,100,6308,63.087
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.125,47,100,3932,39.321
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.0625,11,100,4282,42.821
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.03125,3,100,4186,41.868
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.015625,1,100,4282,42.825
